id	question	answer	trivia	difficulty
37	Preposition is a word or words that relate a noun or pronoun to another word in the same sentence.	1	"Prepositions can also connect a pronoun to a noun in a sentence as in ""He went under the table"". ""Under"" connects the pronoun ""he"" to the noun ""table"" by telling us where he went. Prepositions tells us where something is, where it is going and when it is happening. Prepositions are words like: about, beyond, from, near, out and under."	3
38	"The word ""ANSWER"" can be used as a noun and a verb."	1	It is both - a verb and a noun. It can be either one depending on how it is used.	3
39	Adverbial phrases describe a verb an adjective or adverb.	1	"An adverb phrase is simply a group of two or more words that function as an adverb in a sentence. Just as an adverb can modify a verb, adjective or another adverb, an adverb phrase of more than one word can further describe a verb, adverb, or adjective."	3
40	Verbals are the same as appositives.	0	A verbal is a word formed from a verb but functioning as a different part of speech.	3
41	A prepositional phrase is a group of words that begins with a preposition and ends with a noun or a pronoun.	1	A prepositional phrase is made up of a preposition and a noun phrase.	3
42	"The progressive form shows action, occurrence or state of being that is taking place right here and now."	0	"Progressive form (sometimes called the continuous form) in conjunction with any verb tense (present, past, future, present perfect, past perfect, future perfect) to express an action that is ongoing with respect to a point in time or another action."	3
43	"English has six verb tenses. Each of the six tenses has two forms: basic and progressive (also known as ""perfect"")."	1	"The first three tenses: present, past and future present few problems. Only third person singular in the present tense differs in form the other three tenses: perfect pluperfect (past perfect) and future perfect are formed with the helping verbs have, has and had."	3
44	Adjectives and adverbs not only describe things they also compare them.	1	"Adjectives and adverbs have different forms to show degrees of comparison. We even have a name for each of these forms of degree: positive, comparative and superlative."	3
45	A predicate adjective is an adjective that follows a linking verb and describes the subject of a sentence.	1	A predicate adjective refers to an adjective in a sentence. However a predicate adjective must follow a linking verb. Furthermore a predicate adjective describes the subject.	3
46	Proper adjectives which describe the subject of the sentence are adjectives separated from the noun or pronoun by a linking verb.	0	A proper adjective is a type of adjective. Proper adjective is a word that modifies nouns and pronouns and is formed from a proper noun.	3
47	A predicate nominative is a noun or pronoun that follows a linking verb and identifies or renames the subject.	0	A predicate nominative (also called a predicate noun) is a word or group of words that completes a linking verb and renames the subject.	3
48	"Use the objective case to show the object of a noun, verb or adjective."	0	"The objective case is used for nouns and pronouns which function as objects. There are three types of object: a direct object, an indirect object and an object of a preposition."	3
49	Case refers to the way a noun or pronoun changes depending on how it is used in a sentence.	1	"Case refers to the form a noun or pronoun takes depending on its function in a sentence. English pronouns have three cases: subjective, objective and possessive."	3
50	In the nominative case the pronoun is used to show possession.	0	The nominative case is the case used for a noun or pronoun which is the subject of a verb.	3
